image,class
dataset/3ayn/iAndalus_30 size60.jpg,3ayn
dataset/3ayn/iAndalus_30 size61.jpg,3ayn
dataset/3ayn/iAndalus_30 size62.jpg,3ayn
dataset/3ayn/iAndalus_30 size63.jpg,3ayn
dataset/3ayn/iAndalus_37 size63.jpg,3ayn
dataset/3ayn/iAndalus_37 size64.jpg,3ayn
dataset/3ayn/iAndalus_37 size65.jpg,3ayn
dataset/3ayn/iAndalus_37 size66.jpg,3ayn
dataset/3ayn/iAndalus_38 size63.jpg,3ayn
dataset/3ayn/iAndalus_38 size64.jpg,3ayn
dataset/3ayn/iAndalus_38 size65.jpg,3ayn
dataset/3ayn/iAndalus_38 size66.jpg,3ayn
dataset/3ayn/iAndalus_39 size59.jpg,3ayn
dataset/3ayn/iAndalus_39 size60.jpg,3ayn
dataset/3ayn/iAndalus_39 size61.jpg,3ayn
dataset/3ayn/iAndalus_39 size87.jpg,3ayn
dataset/3ayn/iArial_12 size47.jpg,3ayn
dataset/3ayn/iArial_12 size48.jpg,3ayn
dataset/3ayn/iArial_12 size49.jpg,3ayn
dataset/3ayn/iArial_12 size50.jpg,3ayn
dataset/3ayn/iArial_13 size41.jpg,3ayn
dataset/3ayn/iArial_13 size42.jpg,3ayn
dataset/3ayn/iArial_14 size95.jpg,3ayn
dataset/3ayn/iArial_14 size96.jpg,3ayn
dataset/3ayn/iArial_14 size97.jpg,3ayn
dataset/3ayn/iArial_14 size98.jpg,3ayn
dataset/3ayn/iArial_15 size84.jpg,3ayn
dataset/3ayn/iArial_15 size85.jpg,3ayn
dataset/3ayn/iArial_15 size86.jpg,3ayn
dataset/3ayn/iArial_15 size87.jpg,3ayn
dataset/3ayn/iArial_16 size74.jpg,3ayn
dataset/3ayn/iArial_16 size75.jpg,3ayn
dataset/3ayn/iArial_16 size76.jpg,3ayn
dataset/3ayn/iArial_16 size77.jpg,3ayn
dataset/3ayn/iArial_17 size64.jpg,3ayn
dataset/3ayn/iArial_17 size65.jpg,3ayn
dataset/3ayn/iArial_17 size66.jpg,3ayn
dataset/3ayn/iArial_17 size67.jpg,3ayn
dataset/3ayn/iArial_18 size58.jpg,3ayn
dataset/3ayn/iArial_18 size59.jpg,3ayn
dataset/3ayn/iArial_18 size60.jpg,3ayn
dataset/3ayn/iArial_18 size61.jpg,3ayn
dataset/3ayn/iArial_19 size53.jpg,3ayn
dataset/3ayn/iArial_19 size54.jpg,3ayn
dataset/3ayn/iArial_19 size55.jpg,3ayn
dataset/3ayn/iArial_19 size99.jpg,3ayn
dataset/3ayn/iArial_20 size88.jpg,3ayn
dataset/3ayn/iArial_20 size89.jpg,3ayn
dataset/3ayn/iArial_20 size90.jpg,3ayn
dataset/3ayn/iArial_20 size91.jpg,3ayn
dataset/3ayn/iArial_21 size80.jpg,3ayn
dataset/3ayn/iArial_21 size81.jpg,3ayn
dataset/3ayn/iArial_21 size82.jpg,3ayn
dataset/3ayn/iArial_21 size83.jpg,3ayn
dataset/3ayn/iArial_22 size73.jpg,3ayn
dataset/3ayn/iArial_22 size74.jpg,3ayn
dataset/3ayn/iArial_22 size75.jpg,3ayn
dataset/3ayn/iArial_22 size76.jpg,3ayn
dataset/3ayn/iArial_23 size67.jpg,3ayn
dataset/3ayn/iArial_23 size68.jpg,3ayn
dataset/3ayn/iArial_23 size69.jpg,3ayn
dataset/3ayn/iArial_23 size70.jpg,3ayn
dataset/3ayn/iArial_24 size64.jpg,3ayn
dataset/3ayn/iArial_24 size65.jpg,3ayn
dataset/3ayn/iArial_24 size66.jpg,3ayn
dataset/3ayn/iArial_24 size67.jpg,3ayn
dataset/3ayn/iArial_25 size57.jpg,3ayn
dataset/3ayn/iArial_25 size58.jpg,3ayn
dataset/3ayn/iArial_25 size59.jpg,3ayn
dataset/3ayn/iArial_25 size60.jpg,3ayn
dataset/3ayn/iArial_26 size85.jpg,3ayn
dataset/3ayn/iArial_26 size86.jpg,3ayn
dataset/3ayn/iArial_26 size87.jpg,3ayn
dataset/3ayn/iArial_26 size88.jpg,3ayn
dataset/3ayn/iArial_27 size78.jpg,3ayn
dataset/3ayn/iArial_27 size79.jpg,3ayn
dataset/3ayn/iArial_27 size80.jpg,3ayn
dataset/3ayn/iArial_27 size81.jpg,3ayn
dataset/3ayn/iArial_28 size72.jpg,3ayn
dataset/3ayn/iArial_28 size73.jpg,3ayn
dataset/3ayn/iArial_28 size74.jpg,3ayn
dataset/3ayn/iArial_28 size75.jpg,3ayn
dataset/3ayn/iArial_29 size70.jpg,3ayn
dataset/3ayn/iArial_29 size71.jpg,3ayn
dataset/3ayn/iArial_29 size72.jpg,3ayn
dataset/3ayn/iArial_29 size73.jpg,3ayn
dataset/3ayn/iArial_30 size65.jpg,3ayn
dataset/3ayn/iArial_30 size66.jpg,3ayn
dataset/3ayn/iArial_30 size67.jpg,3ayn
dataset/3ayn/iArial_30 size68.jpg,3ayn
dataset/3ayn/iArial_31 size60.jpg,3ayn
dataset/3ayn/iArial_31 size61.jpg,3ayn
dataset/3ayn/iArial_31 size62.jpg,3ayn
dataset/3ayn/iArial_31 size88.jpg,3ayn
dataset/3ayn/iArial_32 size60.jpg,3ayn
dataset/3ayn/iArial_32 size61.jpg,3ayn
dataset/3ayn/iArial_32 size62.jpg,3ayn
dataset/3ayn/iArial_32 size87.jpg,3ayn
dataset/3ayn/iArial_33 size71.jpg,3ayn
dataset/3ayn/iArial_33 size72.jpg,3ayn
dataset/3ayn/iArial_33 size73.jpg,3ayn
dataset/3ayn/iArial_33 size74.jpg,3ayn
dataset/3ayn/iArial_34 size69.jpg,3ayn
dataset/3ayn/iArial_34 size70.jpg,3ayn
dataset/3ayn/iArial_34 size71.jpg,3ayn
dataset/3ayn/iArial_34 size72.jpg,3ayn
dataset/3ayn/iArial_35 size71.jpg,3ayn
dataset/3ayn/iArial_35 size72.jpg,3ayn
dataset/3ayn/iArial_35 size73.jpg,3ayn
dataset/3ayn/iArial_35 size74.jpg,3ayn
dataset/3ayn/iArial_36 size57.jpg,3ayn
dataset/3ayn/iArial_36 size58.jpg,3ayn
dataset/3ayn/iArial_36 size59.jpg,3ayn
dataset/3ayn/iArial_36 size60.jpg,3ayn
dataset/3ayn/iArial_37 size55.jpg,3ayn
dataset/3ayn/iArial_37 size56.jpg,3ayn
dataset/3ayn/iArial_37 size57.jpg,3ayn
dataset/3ayn/iArial_37 size58.jpg,3ayn
dataset/3ayn/iArial_38 size57.jpg,3ayn
dataset/3ayn/iArial_38 size58.jpg,3ayn
dataset/3ayn/iArial_38 size79.jpg,3ayn
dataset/3ayn/iArial_38 size80.jpg,3ayn
dataset/3ayn/iArial_39 size75.jpg,3ayn
dataset/3ayn/iArial_39 size76.jpg,3ayn
dataset/3ayn/iArial_39 size77.jpg,3ayn
dataset/3ayn/iArial_39 size78.jpg,3ayn
dataset/3ayn/iArial_40 size73.jpg,3ayn
dataset/3ayn/iArial_40 size74.jpg,3ayn
dataset/3ayn/iArial_40 size75.jpg,3ayn
dataset/3ayn/iArial_40 size76.jpg,3ayn
dataset/3ayn/iCalibri_12 size68.jpg,3ayn
dataset/3ayn/iCalibri_12 size69.jpg,3ayn
dataset/3ayn/iCalibri_12 size70.jpg,3ayn
dataset/3ayn/iCalibri_12 size71.jpg,3ayn
dataset/3ayn/iCalibri_13 size56.jpg,3ayn
dataset/3ayn/iCalibri_13 size57.jpg,3ayn
dataset/3ayn/iCalibri_13 size58.jpg,3ayn
dataset/3ayn/iCalibri_13 size59.jpg,3ayn
dataset/3ayn/iCalibri_14 size47.jpg,3ayn
dataset/3ayn/iCalibri_14 size48.jpg,3ayn
dataset/3ayn/iCalibri_14 size49.jpg,3ayn
dataset/3ayn/iCalibri_14 size50.jpg,3ayn
dataset/3ayn/iCalibri_15 size108.jpg,3ayn
dataset/3ayn/iCalibri_15 size109.jpg,3ayn
dataset/3ayn/iCalibri_15 size39.jpg,3ayn
dataset/3ayn/iCalibri_15 size40.jpg,3ayn
dataset/3ayn/iCalibri_16 size100.jpg,3ayn
dataset/3ayn/iCalibri_16 size101.jpg,3ayn
dataset/3ayn/iCalibri_16 size102.jpg,3ayn
dataset/3ayn/iCalibri_16 size99.jpg,3ayn
dataset/3ayn/iCalibri_17 size86.jpg,3ayn
dataset/3ayn/iCalibri_17 size87.jpg,3ayn
dataset/3ayn/iCalibri_17 size88.jpg,3ayn
dataset/3ayn/iCalibri_17 size89.jpg,3ayn
dataset/3ayn/iCalibri_18 size77.jpg,3ayn
dataset/3ayn/iCalibri_18 size78.jpg,3ayn
dataset/3ayn/iCalibri_18 size79.jpg,3ayn
dataset/3ayn/iCalibri_18 size80.jpg,3ayn
dataset/3ayn/iCalibri_19 size69.jpg,3ayn
dataset/3ayn/iCalibri_19 size70.jpg,3ayn
dataset/3ayn/iCalibri_19 size71.jpg,3ayn
dataset/3ayn/iCalibri_19 size72.jpg,3ayn
dataset/3ayn/iCalibri_20 size63.jpg,3ayn
dataset/3ayn/iCalibri_20 size64.jpg,3ayn
dataset/3ayn/iCalibri_20 size65.jpg,3ayn
dataset/3ayn/iCalibri_20 size66.jpg,3ayn
dataset/3ayn/iCalibri_21 size56.jpg,3ayn
dataset/3ayn/iCalibri_21 size57.jpg,3ayn
dataset/3ayn/iCalibri_21 size58.jpg,3ayn
dataset/3ayn/iCalibri_21 size59.jpg,3ayn
dataset/3ayn/iCalibri_22 size53.jpg,3ayn
dataset/3ayn/iCalibri_22 size54.jpg,3ayn
dataset/3ayn/iCalibri_22 size55.jpg,3ayn
dataset/3ayn/iCalibri_22 size99.jpg,3ayn
dataset/3ayn/iCalibri_23 size92.jpg,3ayn
dataset/3ayn/iCalibri_23 size93.jpg,3ayn
dataset/3ayn/iCalibri_23 size94.jpg,3ayn
dataset/3ayn/iCalibri_23 size95.jpg,3ayn
dataset/3ayn/iCalibri_24 size86.jpg,3ayn
dataset/3ayn/iCalibri_24 size87.jpg,3ayn
dataset/3ayn/iCalibri_24 size88.jpg,3ayn
dataset/3ayn/iCalibri_24 size89.jpg,3ayn
